type,openings,telephone,latitude,longitude
Waste Separation Bin,24 hours,N.A.,22.227686,113.932001
Waste Separation Bin,24 hours,N.A.,22.2355817,113.9488667
Waste Separation Bin,24 hours,N.A.,22.2873743,113.9425086
Waste Separation Bin,24 hours,N.A.,22.248788,113.942224
Waste Separation Bin,24 hours,N.A.,22.257699,113.927043
Waste Separation Bin,24 hours,N.A.,22.2758039,113.9435361
Waste Separation Bin,24 hours,N.A.,22.2758039,113.9435361
Waste Separation Bin,24 hours,N.A.,22.2361691,113.8928052
Waste Separation Bin,24 hours,N.A.,22.2560986,113.9053189
Waste Separation Bin,24 hours,N.A.,22.4007942,114.3994981
Waste Separation Bin,24 hours,N.A.,22.2043437,113.8637286
Waste Separation Bin,24 hours,N.A.,22.2309466,113.8583568
Waste Separation Bin,24 hours,N.A.,22.2114672,113.9150845
Waste Separation Bin,24 hours,N.A.,22.4007942,114.3994981
Waste Separation Bin,24 hours,N.A.,22.2043437,113.8637286
Waste Separation Bin,24 hours,N.A.,22.2447101,113.8917636
Waste Separation Bin,24 hours,N.A.,22.2525,113.9119621
Waste Separation Bin,24 hours,N.A.,22.2026568,113.8513871
Waste Separation Bin,24 hours,N.A.,22.4007942,114.3994981
Waste Separation Bin,24 hours,N.A.,22.2114672,113.9150845
Waste Separation Bin,24 hours,N.A.,22.4914188,114.1821136
Waste Separation Bin,24 hours,N.A.,22.4914188,114.1821136
Waste Separation Bin,24 hours,N.A.,22.5053832,114.1677498
Waste Separation Bin,24 hours,N.A.,22.498784,114.178983
Waste Separation Bin,24 hours,N.A.,22.4833333,114.1666667
Waste Separation Bin,24 hours,N.A.,22.5053832,114.1677498
Waste Separation Bin,24 hours,N.A.,22.523096,114.211038
Waste Separation Bin,24 hours,N.A.,22.523096,114.211038
Waste Separation Bin,24 hours,N.A.,22.520629,114.2138563
Waste Separation Bin,24 hours,N.A.,22.5053989,114.2346939
Waste Separation Bin,24 hours,N.A.,22.5085504,114.2393972
Waste Separation Bin,24 hours,N.A.,22.528184,114.225782
Waste Separation Bin,24 hours,N.A.,22.52425,114.21995
Waste Separation Bin,24 hours,N.A.,22.4914188,114.1821136
Waste Separation Bin,24 hours,N.A.,22.4914188,114.1821136
Waste Separation Bin,24 hours,N.A.,22.4914188,114.1821136
Waste Separation Bin,24 hours,N.A.,22.5053989,114.2346939
Waste Separation Bin,24 hours,N.A.,22.4710719,114.2331926
Waste Separation Bin,24 hours,N.A.,22.5033118,114.2391891
Waste Separation Bin,24 hours,N.A.,22.4728367,114.232961
Waste Separation Bin,24 hours,N.A.,22.45,114.2333333
Waste Separation Bin,24 hours,N.A.,22.4833333,114.2166667
Waste Separation Bin,24 hours,N.A.,22.4621711,114.2408398
Waste Separation Bin,24 hours,N.A.,22.5126913,114.252098
Waste Separation Bin,24 hours,N.A.,22.2830679,114.0413675
Waste Separation Bin,24 hours,N.A.,22.4156941,114.265688
Waste Separation Bin,24 hours,N.A.,22.4156941,114.265688
Waste Separation Bin,24 hours,N.A.,22.4048502,114.2792339
Waste Separation Bin,24 hours,N.A.,22.4156941,114.265688
Waste Separation Bin,24 hours,N.A.,22.4026316,114.27539
Waste Separation Bin,24 hours,N.A.,22.4156941,114.265688
Waste Separation Bin,24 hours,N.A.,22.427904,114.293303
Waste Separation Bin,24 hours,N.A.,22.43564,114.3372
Waste Separation Bin,24 hours,N.A.,22.4179426,114.3304194
Waste Separation Bin,24 hours,N.A.,22.4469786,114.3270285
Waste Separation Bin,24 hours,N.A.,22.4469786,114.3270285
Waste Separation Bin,24 hours,N.A.,22.4469786,114.3270285
Waste Separation Bin,24 hours,N.A.,22.4179426,114.3304194
Waste Separation Bin,24 hours,N.A.,22.4179426,114.3304194
Waste Separation Bin,24 hours,N.A.,22.4666667,114.3333333
Waste Separation Bin,24 hours,N.A.,22.4287509,114.3099514
Waste Separation Bin,24 hours,N.A.,22.4179426,114.3304194
Waste Separation Bin,24 hours,N.A.,22.4469786,114.3270285
Waste Separation Bin,24 hours,N.A.,22.4469786,114.3270285
Waste Separation Bin,24 hours,N.A.,22.4666667,114.3333333
Waste Separation Bin,24 hours,N.A.,22.3488139,114.146637
Waste Separation Bin,24 hours,N.A.,22.4488535,114.1601166
Waste Separation Bin,24 hours,N.A.,22.3535889,114.1572807
Waste Separation Bin,24 hours,N.A.,22.3519652,114.1498046
Waste Separation Bin,24 hours,N.A.,22.4488535,114.1601166
Waste Separation Bin,24 hours,N.A.,22.4488535,114.1601166
Waste Separation Bin,24 hours,N.A.,22.3535889,114.1572807
Waste Separation Bin,24 hours,N.A.,22.3519652,114.1498046
Waste Separation Bin,24 hours,N.A.,22.3559029,114.1486207
Waste Separation Bin,24 hours,N.A.,22.3672038,114.1512157
Waste Separation Bin,24 hours,N.A.,22.3640607,114.1811428
Waste Separation Bin,24 hours,N.A.,22.3535889,114.1572807
Waste Separation Bin,24 hours,N.A.,22.3468023,114.1597795
Waste Separation Bin,24 hours,N.A.,22.3546463,114.1866763
Waste Separation Bin,24 hours,N.A.,22.258126,114.197958
Waste Separation Bin,24 hours,N.A.,22.3546463,114.1866763
Waste Separation Bin,24 hours,N.A.,22.258126,114.197958
Waste Separation Bin,24 hours,N.A.,22.3528366,114.1966967
Waste Separation Bin,24 hours,N.A.,22.3952039,114.3217929
Waste Separation Bin,24 hours,N.A.,22.3943359,114.3231027
Waste Separation Bin,24 hours,N.A.,22.3862512,114.3283156
Waste Separation Bin,24 hours,N.A.,22.4591318,114.3443481
Waste Separation Bin,24 hours,N.A.,22.3673813,114.3090213
Waste Separation Bin,24 hours,N.A.,22.3746281,114.3766682
Waste Separation Bin,24 hours,N.A.,22.3918117,114.2976785
Waste Separation Bin,24 hours,N.A.,22.393774,114.300469
Waste Separation Bin,24 hours,N.A.,22.3935137,114.3454376
Waste Separation Bin,24 hours,N.A.,22.3918117,114.2976785
Waste Separation Bin,24 hours,N.A.,22.393774,114.300469
Waste Separation Bin,24 hours,N.A.,22.3918117,114.2976785
Waste Separation Bin,24 hours,N.A.,22.3918117,114.2976785
Waste Separation Bin,24 hours,N.A.,22.3947978,114.3601788
Waste Separation Bin,24 hours,N.A.,22.3925972,114.321373
Waste Separation Bin,24 hours,N.A.,22.400657,114.323832
Waste Separation Bin,24 hours,N.A.,22.3918117,114.2976785
Waste Separation Bin,24 hours,N.A.,22.3918117,114.2976785
Waste Separation Bin,24 hours,N.A.,22.3918117,114.2976785
Waste Separation Bin,24 hours,N.A.,22.3918117,114.2976785
Waste Separation Bin,24 hours,N.A.,22.3918117,114.2976785
Waste Separation Bin,24 hours,N.A.,22.3624213,114.2573763
Waste Separation Bin,24 hours,N.A.,22.3333333,114.2166667
Waste Separation Bin,24 hours,N.A.,22.3448153,114.2160695
Waste Separation Bin,24 hours,N.A.,22.4156941,114.265688
Waste Separation Bin,24 hours,N.A.,22.29143,114.300907
Waste Separation Bin,24 hours,N.A.,22.2482026,114.2895708
Waste Separation Bin,24 hours,N.A.,22.2781668,114.1640434
Waste Separation Bin,24 hours,N.A.,22.286594,114.154994
Waste Separation Bin,24 hours,N.A.,22.2885468,114.1556865
Waste Separation Bin,24 hours,N.A.,22.280071,114.162218
Waste Separation Bin,24 hours,N.A.,22.2867789,114.1405348
Waste Separation Bin,24 hours,N.A.,22.2802975,114.16586
Waste Separation Bin,24 hours,N.A.,22.2772347,114.1727549
Waste Separation Bin,24 hours,N.A.,22.2803077,114.1725125
Waste Separation Bin,24 hours,N.A.,22.2797448,114.1718622
Waste Separation Bin,24 hours,N.A.,22.2798281,114.1729037
Waste Separation Bin,24 hours,N.A.,22.2922788,114.2084053
Waste Separation Bin,24 hours,N.A.,19.0926156,72.8440067
Waste Separation Bin,24 hours,N.A.,22.28436,114.224104
Waste Separation Bin,24 hours,N.A.,22.29263,114.2033769
Waste Separation Bin,24 hours,N.A.,22.30943,114.1709404
Waste Separation Bin,24 hours,N.A.,22.321378,114.1725951
Waste Separation Bin,24 hours,N.A.,22.309118,114.1704097
Waste Separation Bin,24 hours,N.A.,22.3320934,114.146908
Waste Separation Bin,24 hours,N.A.,22.3319665,114.1603241
Waste Separation Bin,24 hours,N.A.,22.3401222,114.1385309
Waste Separation Bin,24 hours,N.A.,22.3144138,114.1684822
Waste Separation Bin,24 hours,N.A.,22.3330339,114.1537464
Waste Separation Bin,24 hours,N.A.,22.3172238,114.1880992
Waste Separation Bin,24 hours,N.A.,22.314562,114.180343
Waste Separation Bin,24 hours,N.A.,22.3177798,114.1776239
Waste Separation Bin,24 hours,N.A.,22.3212222,114.2166788
Waste Separation Bin,24 hours,N.A.,22.309595,114.22978
Waste Separation Bin,24 hours,N.A.,22.3742679,114.1155801
Waste Separation Bin,24 hours,N.A.,22.3725486,114.1187601
Waste Separation Bin,24 hours,N.A.,22.390367,113.976285
Waste Separation Bin,24 hours,N.A.,22.394598,113.9680254
Waste Separation Bin,24 hours,N.A.,22.3998976,113.9737811
Waste Separation Bin,24 hours,N.A.,22.4454322,114.027228
Waste Separation Bin,24 hours,N.A.,22.44538,114.022672
Waste Separation Bin,24 hours,N.A.,22.3630657,114.1315536
Waste Separation Bin,24 hours,N.A.,22.2523195,113.8661195
Waste Separation Bin,24 hours,N.A.,22.2661676,113.99792
Waste Separation Bin,24 hours,N.A.,22.2844078,114.0385761
Waste Separation Bin,24 hours,N.A.,22.308047,113.9184808
Waste Separation Bin,24 hours,N.A.,22.4945682,114.1383116
Waste Separation Bin,24 hours,N.A.,22.531577,114.20324
Waste Separation Bin,24 hours,N.A.,22.524512,114.160545
Waste Separation Bin,24 hours,N.A.,22.4508627,114.164358
Waste Separation Bin,24 hours,N.A.,22.385632,114.186962
Waste Separation Bin,24 hours,N.A.,22.3821886,114.2722739
Waste Separation Bin,24 hours,N.A.,22.2848102,114.1302487
Waste Separation Bin,24 hours,N.A.,22.2892717,114.1496948
Waste Separation Bin,24 hours,N.A.,22.2889481,114.1374536
Waste Separation Bin,24 hours,N.A.,22.2830932,114.1661722
Waste Separation Bin,24 hours,N.A.,22.2804504,114.16122
Waste Separation Bin,24 hours,N.A.,22.2812512,114.1280342
Waste Separation Bin,24 hours,N.A.,22.2822389,114.1616361
Waste Separation Bin,24 hours,N.A.,22.2772634,114.159326
Waste Separation Bin,24 hours,N.A.,22.2771637,114.1608522
Waste Separation Bin,24 hours,N.A.,22.2775137,114.1600072
Waste Separation Bin,24 hours,N.A.,22.2767383,114.1593789
Waste Separation Bin,24 hours,N.A.,22.2767657,114.1560367
Waste Separation Bin,24 hours,N.A.,22.276444,114.156532
Waste Separation Bin,24 hours,N.A.,22.2855813,114.1313817
Waste Separation Bin,24 hours,N.A.,22.2856206,114.1444114
Waste Separation Bin,24 hours,N.A.,22.2824746,114.151792
Waste Separation Bin,24 hours,N.A.,22.2726756,114.147554
Waste Separation Bin,24 hours,N.A.,22.2874827,114.1572492
Waste Separation Bin,24 hours,N.A.,22.2708968,114.1497637
Waste Separation Bin,24 hours,N.A.,22.2855473,114.136225
Waste Separation Bin,24 hours,N.A.,22.2861716,114.1497647
Waste Separation Bin,24 hours,N.A.,22.2861929,114.1497606
Waste Separation Bin,24 hours,N.A.,22.2808842,114.1288371
Waste Separation Bin,24 hours,N.A.,22.2810802,114.1598129
Waste Separation Bin,24 hours,N.A.,22.2900426,114.1435092
Waste Separation Bin,24 hours,N.A.,22.28997,114.14442
Waste Separation Bin,24 hours,N.A.,22.2902364,114.1454925
Waste Separation Bin,24 hours,N.A.,22.2815974,114.1657652
Waste Separation Bin,24 hours,N.A.,22.274287,114.1440778
Waste Separation Bin,24 hours,N.A.,22.2781067,114.175274
Waste Separation Bin,24 hours,N.A.,22.2659057,114.1887759
Waste Separation Bin,24 hours,N.A.,22.2724906,114.1661333
Waste Separation Bin,24 hours,N.A.,22.2714559,114.1748377
Waste Separation Bin,24 hours,N.A.,22.2745066,114.1667997
Waste Separation Bin,24 hours,N.A.,22.2779773,114.1806336
Waste Separation Bin,24 hours,N.A.,22.2716259,114.1863429
Waste Separation Bin,24 hours,N.A.,22.2804608,114.1904888
Waste Separation Bin,24 hours,N.A.,22.2673383,114.1691692
Waste Separation Bin,24 hours,N.A.,22.2745348,114.1880811
Waste Separation Bin,24 hours,N.A.,22.2764683,114.1892832
Waste Separation Bin,24 hours,N.A.,22.2799153,114.1897303
Waste Separation Bin,24 hours,N.A.,22.2638178,114.186758
Waste Separation Bin,24 hours,N.A.,22.2817014,114.1765405
Waste Separation Bin,24 hours,N.A.,22.2810922,114.1767262
Waste Separation Bin,24 hours,N.A.,22.278042,114.1781274
Waste Separation Bin,24 hours,N.A.,22.2730218,114.1886199
Waste Separation Bin,24 hours,N.A.,22.2774549,114.1893432
Waste Separation Bin,24 hours,N.A.,22.2668997,114.1866251
Waste Separation Bin,24 hours,N.A.,22.2760586,114.1691924
Waste Separation Bin,24 hours,N.A.,22.2797441,114.1933064
Waste Separation Bin,24 hours,N.A.,22.2785039,114.1696111
Waste Separation Bin,24 hours,N.A.,22.2765052,114.1705594
Waste Separation Bin,24 hours,N.A.,22.27934,114.189987
Waste Separation Bin,24 hours,N.A.,22.2753999,114.1794769
Waste Separation Bin,24 hours,N.A.,22.267902,114.2111864
Waste Separation Bin,24 hours,N.A.,22.2763381,114.1786768
Waste Separation Bin,24 hours,N.A.,22.2751775,114.1789709
Waste Separation Bin,24 hours,N.A.,22.2745052,114.1730954
Waste Separation Bin,24 hours,N.A.,22.2755861,114.1887302
Waste Separation Bin,24 hours,N.A.,22.2769058,114.1722179
Waste Separation Bin,24 hours,N.A.,22.271161,114.183639
Waste Separation Bin,24 hours,N.A.,22.2753739,114.1726383
Waste Separation Bin,24 hours,N.A.,22.2728377,114.1735933
Waste Separation Bin,24 hours,N.A.,22.2737362,114.1767079
Waste Separation Bin,24 hours,N.A.,22.2697473,114.1785536
Waste Separation Bin,24 hours,N.A.,22.2701131,114.1759632
Waste Separation Bin,24 hours,N.A.,22.2697473,114.1785536
Waste Separation Bin,24 hours,N.A.,22.2737163,114.1933748
Waste Separation Bin,24 hours,N.A.,22.2744469,114.1941702
Waste Separation Bin,24 hours,N.A.,22.2703307,114.1910838
Waste Separation Bin,24 hours,N.A.,22.2703307,114.1910838
Waste Separation Bin,24 hours,N.A.,22.2703307,114.1910838
Waste Separation Bin,24 hours,N.A.,22.2575924,114.19417
Waste Separation Bin,24 hours,N.A.,22.276222,114.1742156
Waste Separation Bin,24 hours,N.A.,22.2759882,114.17126
Waste Separation Bin,24 hours,N.A.,22.277328,114.178298
Waste Separation Bin,24 hours,N.A.,22.3099848,114.1707017
Waste Separation Bin,24 hours,N.A.,22.281194,114.17799
Waste Separation Bin,24 hours,N.A.,22.2830654,114.1857102
Waste Separation Bin,24 hours,N.A.,22.2787008,114.1894967
Waste Separation Bin,24 hours,N.A.,22.285124,114.1469652
Waste Separation Bin,24 hours,N.A.,26.1301191,-80.128901
Waste Separation Bin,24 hours,N.A.,22.283206,114.19047
Waste Separation Bin,24 hours,N.A.,22.2669188,114.1692484
Waste Separation Bin,24 hours,N.A.,22.2740243,114.1737403
Waste Separation Bin,24 hours,N.A.,22.2707312,114.1718769
Waste Separation Bin,24 hours,N.A.,22.2756519,114.1761703
Waste Separation Bin,24 hours,N.A.,22.282856,114.17918
Waste Separation Bin,24 hours,N.A.,22.2615586,114.1900256
Waste Separation Bin,24 hours,N.A.,22.2702015,114.18407
Waste Separation Bin,24 hours,N.A.,22.2740042,114.1836126
Waste Separation Bin,24 hours,N.A.,22.2690935,114.1856682
Waste Separation Bin,24 hours,N.A.,1.3007842,103.9121866
Waste Separation Bin,24 hours,N.A.,22.2828193,114.2249325
Waste Separation Bin,24 hours,N.A.,22.2826742,114.2247468
Waste Separation Bin,24 hours,N.A.,22.2787064,114.2274528
Waste Separation Bin,24 hours,N.A.,22.2828634,114.2296499
Waste Separation Bin,24 hours,N.A.,22.2842016,114.1995512
Waste Separation Bin,24 hours,N.A.,22.2594877,114.2387556
Waste Separation Bin,24 hours,N.A.,22.2666664,114.2384456
Waste Separation Bin,24 hours,N.A.,22.2641416,114.2463404
Waste Separation Bin,24 hours,N.A.,22.2698137,114.2337894
Waste Separation Bin,24 hours,N.A.,22.2698137,114.2337894
Waste Separation Bin,24 hours,N.A.,22.2698137,114.2337894
Waste Separation Bin,24 hours,N.A.,22.2710362,114.2332842
Waste Separation Bin,24 hours,N.A.,22.2649066,114.2398392
Waste Separation Bin,24 hours,N.A.,22.2648028,114.2459908
Waste Separation Bin,24 hours,N.A.,22.2888501,114.1970664
Waste Separation Bin,24 hours,N.A.,22.2865076,114.2019833
Waste Separation Bin,24 hours,N.A.,22.284854,114.194749
Waste Separation Bin,24 hours,N.A.,22.2866296,114.1940213
Waste Separation Bin,24 hours,N.A.,22.2627299,114.2332891
Waste Separation Bin,24 hours,N.A.,22.288381,114.210424
Waste Separation Bin,24 hours,N.A.,22.289045,114.1955676
Waste Separation Bin,24 hours,N.A.,22.2683487,114.2482855
Waste Separation Bin,24 hours,N.A.,22.2677167,114.2477114
Waste Separation Bin,24 hours,N.A.,22.2744673,114.2417866
Waste Separation Bin,24 hours,N.A.,22.2906177,114.2057983
Waste Separation Bin,24 hours,N.A.,22.263396,114.235071
Waste Separation Bin,24 hours,N.A.,22.2850681,114.2220069
Waste Separation Bin,24 hours,N.A.,22.281805,114.23565
Waste Separation Bin,24 hours,N.A.,22.2825679,114.2161997
Waste Separation Bin,24 hours,N.A.,22.2846902,114.2222682
Waste Separation Bin,24 hours,N.A.,22.2846902,114.2222682
Waste Separation Bin,24 hours,N.A.,22.2908632,114.2096287
Waste Separation Bin,24 hours,N.A.,22.2923352,114.1993332
Waste Separation Bin,24 hours,N.A.,22.277604,114.230554
Waste Separation Bin,24 hours,N.A.,22.2922597,114.2035393
Waste Separation Bin,24 hours,N.A.,22.2642811,114.2354769
Waste Separation Bin,24 hours,N.A.,22.2835103,114.2228965
Waste Separation Bin,24 hours,N.A.,22.278406,114.234652
Waste Separation Bin,24 hours,N.A.,22.268751,114.234698
Waste Separation Bin,24 hours,N.A.,51.6087841,-0.2766697
Waste Separation Bin,24 hours,N.A.,22.2849947,114.1492381
Waste Separation Bin,24 hours,N.A.,22.2685204,114.2159966
Waste Separation Bin,24 hours,N.A.,22.2787261,114.2269541
Waste Separation Bin,24 hours,N.A.,22.2770263,114.2270055
Waste Separation Bin,24 hours,N.A.,22.2884683,114.192803
Waste Separation Bin,24 hours,N.A.,13.9652416,-61.0239974
Waste Separation Bin,24 hours,N.A.,22.2878478,114.2008192
Waste Separation Bin,24 hours,N.A.,22.293453,114.204051
Waste Separation Bin,24 hours,N.A.,22.2887253,114.1929665
Waste Separation Bin,24 hours,N.A.,22.2903961,114.207272
Waste Separation Bin,24 hours,N.A.,22.290521,114.2067207
Waste Separation Bin,24 hours,N.A.,22.288426,114.215451
Waste Separation Bin,24 hours,N.A.,22.288426,114.215451
Waste Separation Bin,24 hours,N.A.,22.288426,114.215451
Waste Separation Bin,24 hours,N.A.,22.288426,114.215451
Waste Separation Bin,24 hours,N.A.,22.2902579,114.2148087
Waste Separation Bin,24 hours,N.A.,5.408399,100.286514
Waste Separation Bin,24 hours,N.A.,22.2827206,114.2123009
Waste Separation Bin,24 hours,N.A.,22.2837347,114.2117456
Waste Separation Bin,24 hours,N.A.,22.2842969,114.2116384
Waste Separation Bin,24 hours,N.A.,22.2827206,114.2123009
Waste Separation Bin,24 hours,N.A.,22.28178,114.2225051
Waste Separation Bin,24 hours,N.A.,22.2863247,114.2226145
Waste Separation Bin,24 hours,N.A.,22.282238,114.2227325
Waste Separation Bin,24 hours,N.A.,22.2644257,114.242022
Waste Separation Bin,24 hours,N.A.,22.2644257,114.242022
Waste Separation Bin,24 hours,N.A.,22.278746,114.2286476
Waste Separation Bin,24 hours,N.A.,22.2803984,114.2247222
Waste Separation Bin,24 hours,N.A.,22.2820449,114.217688
Waste Separation Bin,24 hours,N.A.,22.2665345,114.2436513
Waste Separation Bin,24 hours,N.A.,22.265226,114.252149
Waste Separation Bin,24 hours,N.A.,22.2641088,114.2486726
Waste Separation Bin,24 hours,N.A.,22.2615148,114.2494516
Waste Separation Bin,24 hours,N.A.,22.2615148,114.2494516
Waste Separation Bin,24 hours,N.A.,22.2633683,114.249499
Waste Separation Bin,24 hours,N.A.,22.2674832,114.2490685
Waste Separation Bin,24 hours,N.A.,22.263563,114.24967
Waste Separation Bin,24 hours,N.A.,22.2923362,114.2029796
Waste Separation Bin,24 hours,N.A.,22.2822323,114.1921877
Waste Separation Bin,24 hours,N.A.,22.2877547,114.1992577
Waste Separation Bin,24 hours,N.A.,22.2877547,114.1992577
Waste Separation Bin,24 hours,N.A.,22.2927531,114.1981051
Waste Separation Bin,24 hours,N.A.,22.2809696,114.230195
Waste Separation Bin,24 hours,N.A.,22.2852899,114.1973933
Waste Separation Bin,24 hours,N.A.,22.2622995,114.2362429
Waste Separation Bin,24 hours,N.A.,22.28985,114.193291
Waste Separation Bin,24 hours,N.A.,22.2678151,114.2418753
Waste Separation Bin,24 hours,N.A.,22.2783518,114.2205673
Waste Separation Bin,24 hours,N.A.,53.4162744,-2.998128
Waste Separation Bin,24 hours,N.A.,22.2934891,114.2014776
Waste Separation Bin,24 hours,N.A.,22.2471807,114.1552881
Waste Separation Bin,24 hours,N.A.,22.2491927,114.1544143
Waste Separation Bin,24 hours,N.A.,22.2500953,114.171524
Waste Separation Bin,24 hours,N.A.,22.2475872,114.1599655
Waste Separation Bin,24 hours,N.A.,22.2451725,114.1581021
Waste Separation Bin,24 hours,N.A.,22.2445,114.1554216
